OBEC,OKRES,PSC
Ábelová,Lučenec,985 13
Abovce,Rimavská Sobota,980 44
Abrahám,Galanta,925 45
Abrahámovce,Kežmarok,059 72
Abrahámovce,Bardejov,086 41
Abramová,Turčianske Teplice,038 22
Abranovce,Prešov,082 52
Adamovské Kochanovce,Trenčín,913 05
Adidovce,Humenné,067 32
Alekšince,Nitra,951 22
Andovce,Nové Zámky,941 23
Andrejová,Bardejov,086 37
Ardanovce,Topoľčany,956 06
Ardovo,Rožňava,049 55
Arnutovce,Spišská Nová Ves,053 13
Báb,Nitra,951 34
Babie,Vranov nad Topľou,094 31
Babín,Námestovo,029 52
Babiná,Zvolen,962 61
Babindol,Nitra,951 53
Babinec,Rimavská Sobota,980 26
Bacúch,Brezno,976 64
Bacúrov,Zvolen,962 61
Báč,Dunajská Streda,930 30
Bačka,Trebišov,076 84
Bačkov,Trebišov,076 61
Bačkovík,Košice - okolie,044 45
Baďan,Banská Štiavnica,969 01
Bádice,Nitra,951 46
Badín,Banská Bystrica,
Báhoň,Pezinok,900 84
Bajany,Michalovce,072 54
Bajč,Komárno,946 54
Bajerov,Prešov,082 41
Bajerovce,Sabinov,082 73
Bajka,Levice,935 51
Bajtava,Nové Zámky,943 65
Baka,Dunajská Streda,930 04
Baláže,Banská Bystrica,976 11
Baldovce,Levoča,053 04
Balog nad Ipľom,Veľký Krtíš,991 11
Baloň,Dunajská Streda,930 08
Baňa,Stropkov,091 01
Banka,Piešťany,921 01
Bánov,Nové Zámky,941 01
Bánovce nad Bebravou,Bánovce nad Bebravou,
Bánovce nad Ondavou,Michalovce,
Banská Belá,Banská Štiavnica,966 15
Banská Bystrica,Banská Bystrica,
Banská Štiavnica,Banská Štiavnica,
Banské,Vranov nad Topľou,094 12
Banský Studenec,Banská Štiavnica,969 01
Bara,Trebišov,076 32
Barca,Rimavská Sobota,982 51
Bardejov,Bardejov,
Bardoňovo,Nové Zámky,941 49
Bartošova Lehôtka,Žiar nad Hronom,967 01
Bartošovce,Bardejov,086 42
Baška,Košice - okolie,040 16
Baškovce,Humenné,067 23
Baškovce,Sobrance,073 01
Bašovce,Piešťany,922 01
Batizovce,Poprad,059 35
Bátka,Rimavská Sobota,980 21
Bátorová,Veľký Krtíš,991 26
Bátorove Kosihy,Komárno,946 34
Bátovce,Levice,935 03
Beckov,Nové Mesto n.Váhom,
Beharovce,Levoča,053 05
Becherov,Bardejov,086 35
Belá,Žilina,013 05
Belá,Nové Zámky,943 53
Belá nad Cirochou,Snina,067 81
Beladice,Zlaté Moravce,951 75
Belá - Dulice,Martin,038 11
Belejovce,Svidník,089 01
Belín,Rimavská Sobota,980 01
Belina,Lučenec,986 01
Belince,Topoľčany,956 12
Bellova Ves,Dunajská Streda,930 52
